primary_key,codes,work_load,year,work_uta
110,111160106,Mão-de-obra agrícola total,2019,123
111,111160106,Mão-de-obra agrícola total,2009,178
112,111160106,Mão-de-obra agrícola total,1999,236
113,,Mão-de-obra agrícola familiar,1999,234
114,,Produtor,1999,113
115,,Cônjuge,1999,70
116,,Outros membros da família,1999,51
117,,Mão-de-obra agrícola não familiar,1999,2
118,,Permanente,1999,0
119,,Eventual,1999,2
120,,Mão-de-obra não contratada pelo produtor,1999,0
121,111160108,Mão-de-obra agrícola total,1989,180
122,111160108,Mão-de-obra agrícola total,2019,33
123,111160108,Mão-de-obra agrícola total,2009,72
124,111160108,Mão-de-obra agrícola total,1999,78
125,,Mão-de-obra agrícola familiar,1999,75
126,,Produtor,1999,38
127,,Cônjuge,1999,24
128,,Outros membros da família,1999,14
129,,Mão-de-obra agrícola não familiar,1999,3
130,,Permanente,1999,1
131,,Eventual,1999,2
132,,Mão-de-obra não contratada pelo produtor,1999,0
133,111160109,Mão-de-obra agrícola total,1989,190
134,111160109,Mão-de-obra agrícola total,2019,27
135,111160109,Mão-de-obra agrícola total,2009,41
136,111160109,Mão-de-obra agrícola total,1999,81
137,,Mão-de-obra agrícola familiar,1999,70
138,,Produtor,1999,35
139,,Cônjuge,1999,22
140,,Outros membros da família,1999,13
141,,Mão-de-obra agrícola não familiar,1999,11
142,,Permanente,1999,2
143,,Eventual,1999,9
144,,Mão-de-obra não contratada pelo produtor,1999,0
145,111160113,Mão-de-obra agrícola total,1989,269
146,111160113,Mão-de-obra agrícola total,2019,70
147,111160113,Mão-de-obra agrícola total,2009,137
148,111160113,Mão-de-obra agrícola total,1999,171
149,,Mão-de-obra agrícola familiar,1999,169
150,,Produtor,1999,81
151,,Cônjuge,1999,61
152,,Outros membros da família,1999,28
153,,Mão-de-obra agrícola não familiar,1999,1
154,,Permanente,1999,0
155,,Eventual,1999,1
156,,Mão-de-obra não contratada pelo produtor,1999,0
157,111160115,Mão-de-obra agrícola total,1989,473
158,111160115,Mão-de-obra agrícola total,2019,150
159,111160115,Mão-de-obra agrícola total,2009,175
160,111160115,Mão-de-obra agrícola total,1999,193
161,,Mão-de-obra agrícola familiar,1999,185
162,,Produtor,1999,89
163,,Cônjuge,1999,53
164,,Outros membros da família,1999,43
165,,Mão-de-obra agrícola não familiar,1999,8
166,,Permanente,1999,2
167,,Eventual,1999,5
168,,Mão-de-obra não contratada pelo produtor,1999,0
169,111160142,Mão-de-obra agrícola total,1989,177
170,111160142,Mão-de-obra agrícola total,2019,40
171,111160142,Mão-de-obra agrícola total,2009,53
172,111160142,Mão-de-obra agrícola total,1999,88
173,,Mão-de-obra agrícola familiar,1999,83
174,,Produtor,1999,32
175,,Cônjuge,1999,26
176,,Outros membros da família,1999,25
177,,Mão-de-obra agrícola não familiar,1999,5
178,,Permanente,1999,2
179,,Eventual,1999,3
180,,Mão-de-obra não contratada pelo produtor,1999,0
181,111160121,Mão-de-obra agrícola total,1989,308
182,111160121,Mão-de-obra agrícola total,2019,59
183,111160121,Mão-de-obra agrícola total,2009,74
184,111160121,Mão-de-obra agrícola total,1999,124
185,,Mão-de-obra agrícola familiar,1999,123
186,,Produtor,1999,59
187,,Cônjuge,1999,39
188,,Outros membros da família,1999,24
189,,Mão-de-obra agrícola não familiar,1999,1
190,,Permanente,1999,0
191,,Eventual,1999,1
192,,Mão-de-obra não contratada pelo produtor,1999,0
193,111160122,Mão-de-obra agrícola total,1989,177
194,111160122,Mão-de-obra agrícola total,2019,16
195,111160122,Mão-de-obra agrícola total,2009,43
196,111160122,Mão-de-obra agrícola total,1999,115
197,,Mão-de-obra agrícola familiar,1999,98
198,,Produtor,1999,46
199,,Cônjuge,1999,36
200,,Outros membros da família,1999,16
201,,Mão-de-obra agrícola não familiar,1999,17
202,,Permanente,1999,4
203,,Eventual,1999,13
204,,Mão-de-obra não contratada pelo produtor,1999,0
205,111160123,Mão-de-obra agrícola total,1989,107
206,111160123,Mão-de-obra agrícola total,2019,27
207,111160123,Mão-de-obra agrícola total,2009,44
208,111160123,Mão-de-obra agrícola total,1999,74
209,,Mão-de-obra agrícola familiar,1999,70
210,,Produtor,1999,35
211,,Cônjuge,1999,25
212,,Outros membros da família,1999,9
213,,Mão-de-obra agrícola não familiar,1999,5
214,,Permanente,1999,1
215,,Eventual,1999,4
216,,Mão-de-obra não contratada pelo produtor,1999,0
217,111160124,Mão-de-obra agrícola total,1989,148
218,111160124,Mão-de-obra agrícola total,2019,48
219,111160124,Mão-de-obra agrícola total,2009,71
220,111160124,Mão-de-obra agrícola total,1999,88
221,,Mão-de-obra agrícola familiar,1999,50
222,,Produtor,1999,26
223,,Cônjuge,1999,17
224,,Outros membros da família,1999,7
225,,Mão-de-obra agrícola não familiar,1999,37
226,,Permanente,1999,27
227,,Eventual,1999,11
228,,Mão-de-obra não contratada pelo produtor,1999,0
229,111160125,Mão-de-obra agrícola total,1989,197
230,111160125,Mão-de-obra agrícola total,2019,37
231,111160125,Mão-de-obra agrícola total,2009,87
232,111160125,Mão-de-obra agrícola total,1999,99
233,,Mão-de-obra agrícola familiar,1999,98
234,,Produtor,1999,47
235,,Cônjuge,1999,31
236,,Outros membros da família,1999,20
237,,Mão-de-obra agrícola não familiar,1999,1
238,,Permanente,1999,0
239,,Eventual,1999,1
240,,Mão-de-obra não contratada pelo produtor,1999,0
241,111160128,Mão-de-obra agrícola total,1989,250
242,111160128,Mão-de-obra agrícola total,2019,82
243,111160128,Mão-de-obra agrícola total,2009,63
244,111160128,Mão-de-obra agrícola total,1999,115
245,,Mão-de-obra agrícola familiar,1999,105
246,,Produtor,1999,56
247,,Cônjuge,1999,35
248,,Outros membros da família,1999,15
249,,Mão-de-obra agrícola não familiar,1999,11
250,,Permanente,1999,3
251,,Eventual,1999,8
252,,Mão-de-obra não contratada pelo produtor,1999,0
253,111160131,Mão-de-obra agrícola total,1989,284
254,111160131,Mão-de-obra agrícola total,2019,60
255,111160131,Mão-de-obra agrícola total,2009,71
256,111160131,Mão-de-obra agrícola total,1999,96
257,,Mão-de-obra agrícola familiar,1999,92
258,,Produtor,1999,47
259,,Cônjuge,1999,32
260,,Outros membros da família,1999,14
261,,Mão-de-obra agrícola não familiar,1999,4
262,,Permanente,1999,1
263,,Eventual,1999,3
264,,Mão-de-obra não contratada pelo produtor,1999,0
265,111160130,Mão-de-obra agrícola total,1989,526
266,111160130,Mão-de-obra agrícola total,2019,43
267,111160130,Mão-de-obra agrícola total,2009,212
268,111160130,Mão-de-obra agrícola total,1999,248
269,,Mão-de-obra agrícola familiar,1999,243
270,,Produtor,1999,122
271,,Cônjuge,1999,79
272,,Outros membros da família,1999,42
273,,Mão-de-obra agrícola não familiar,1999,6
274,,Permanente,1999,2
275,,Eventual,1999,3
276,,Mão-de-obra não contratada pelo produtor,1999,0
277,111160133,Mão-de-obra agrícola total,1989,336
278,111160133,Mão-de-obra agrícola total,2019,49
279,111160133,Mão-de-obra agrícola total,2009,83
280,111160133,Mão-de-obra agrícola total,1999,134
281,,Mão-de-obra agrícola familiar,1999,128
282,,Produtor,1999,56
283,,Cônjuge,1999,44
284,,Outros membros da família,1999,28
285,,Mão-de-obra agrícola não familiar,1999,6
286,,Permanente,1999,0
287,,Eventual,1999,5
288,,Mão-de-obra não contratada pelo produtor,1999,0
289,111160144,Mão-de-obra agrícola total,1989,276
290,111160144,Mão-de-obra agrícola total,2019,44
291,111160144,Mão-de-obra agrícola total,2009,99
292,111160144,Mão-de-obra agrícola total,1999,89
293,,Mão-de-obra agrícola familiar,1999,88
294,,Produtor,1999,40
295,,Cônjuge,1999,26
296,,Outros membros da família,1999,22
297,,Mão-de-obra agrícola não familiar,1999,1
298,,Permanente,1999,0
299,,Eventual,1999,0
300,,Mão-de-obra não contratada pelo produtor,1999,1
301,111160145,Mão-de-obra agrícola total,1989,302
302,111160145,Mão-de-obra agrícola total,2019,93
303,111160145,Mão-de-obra agrícola total,2009,117
304,111160145,Mão-de-obra agrícola total,1999,183
305,,Mão-de-obra agrícola familiar,1999,181
306,,Produtor,1999,93
307,,Cônjuge,1999,54
308,,Outros membros da família,1999,35
309,,Mão-de-obra agrícola não familiar,1999,2
310,,Permanente,1999,0
311,,Eventual,1999,1
312,,Mão-de-obra não contratada pelo produtor,1999,0
313,111160146,Mão-de-obra agrícola total,1989,509
314,111160146,Mão-de-obra agrícola total,2019,112
315,111160146,Mão-de-obra agrícola total,2009,181
316,111160146,Mão-de-obra agrícola total,1999,284
317,,Mão-de-obra agrícola familiar,1999,280
318,,Produtor,1999,154
319,,Cônjuge,1999,95
320,,Outros membros da família,1999,32
321,,Mão-de-obra agrícola não familiar,1999,4
322,,Permanente,1999,0
323,,Eventual,1999,4
324,,Mão-de-obra não contratada pelo produtor,1999,0
325,111160152,Mão-de-obra agrícola total,1989,276
326,111160152,Mão-de-obra agrícola total,2019,30
327,111160152,Mão-de-obra agrícola total,2009,74
328,111160152,Mão-de-obra agrícola total,1999,157
329,,Mão-de-obra agrícola familiar,1999,152
330,,Produtor,1999,77
331,,Cônjuge,1999,59
332,,Outros membros da família,1999,15
333,,Mão-de-obra agrícola não familiar,1999,5
334,,Permanente,1999,1
335,,Eventual,1999,4
336,,Mão-de-obra não contratada pelo produtor,1999,0
337,111160154,Mão-de-obra agrícola total,1989,146
338,111160154,Mão-de-obra agrícola total,2019,15
339,111160154,Mão-de-obra agrícola total,2009,30
340,111160154,Mão-de-obra agrícola total,1999,68
341,,Mão-de-obra agrícola familiar,1999,51
342,,Produtor,1999,23
343,,Cônjuge,1999,17
344,,Outros membros da família,1999,11
345,,Mão-de-obra agrícola não familiar,1999,18
346,,Permanente,1999,10
347,,Eventual,1999,8
348,,Mão-de-obra não contratada pelo produtor,1999,0
349,111160153,Mão-de-obra agrícola total,1989,153
350,111160153,Mão-de-obra agrícola total,2019,40
351,111160153,Mão-de-obra agrícola total,2009,44
352,111160153,Mão-de-obra agrícola total,1999,93
353,,Mão-de-obra agrícola familiar,1999,77
354,,Produtor,1999,36
355,,Cônjuge,1999,26
356,,Outros membros da família,1999,15
357,,Mão-de-obra agrícola não familiar,1999,16
358,,Permanente,1999,5
359,,Eventual,1999,11
360,,Mão-de-obra não contratada pelo produtor,1999,0
361,111160155,Mão-de-obra agrícola total,1989,253
362,111160155,Mão-de-obra agrícola total,2019,51
363,111160155,Mão-de-obra agrícola total,2009,47
364,111160155,Mão-de-obra agrícola total,1999,121
365,,Mão-de-obra agrícola familiar,1999,117
366,,Produtor,1999,53
367,,Cônjuge,1999,36
368,,Outros membros da família,1999,27
369,,Mão-de-obra agrícola não familiar,1999,4
370,,Permanente,1999,1
371,,Eventual,1999,2
372,,Mão-de-obra não contratada pelo produtor,1999,1
373,111160156,Mão-de-obra agrícola total,1989,360
374,111160156,Mão-de-obra agrícola total,2019,70
375,111160156,Mão-de-obra agrícola total,2009,114
376,111160156,Mão-de-obra agrícola total,1999,174
377,,Mão-de-obra agrícola familiar,1999,166
378,,Produtor,1999,84
379,,Cônjuge,1999,44
380,,Outros membros da família,1999,39
381,,Mão-de-obra agrícola não familiar,1999,8
382,,Permanente,1999,1
383,,Eventual,1999,7
384,,Mão-de-obra não contratada pelo produtor,1999,0
385,111160157,Mão-de-obra agrícola total,1989,226
386,111160157,Mão-de-obra agrícola total,2019,63
387,111160157,Mão-de-obra agrícola total,2009,62
388,111160157,Mão-de-obra agrícola total,1999,170
389,,Mão-de-obra agrícola familiar,1999,144
390,,Produtor,1999,70
391,,Cônjuge,1999,46
392,,Outros membros da família,1999,28
393,,Mão-de-obra agrícola não familiar,1999,26
394,,Permanente,1999,4
395,,Eventual,1999,22
396,,Mão-de-obra não contratada pelo produtor,1999,0
397,111160158,Mão-de-obra agrícola total,1989,316
398,111160158,Mão-de-obra agrícola total,2019,47
399,111160158,Mão-de-obra agrícola total,2009,102
400,111160158,Mão-de-obra agrícola total,1999,144
401,,Mão-de-obra agrícola familiar,1999,137
402,,Produtor,1999,58
403,,Cônjuge,1999,47
404,,Outros membros da família,1999,33
405,,Mão-de-obra agrícola não familiar,1999,6
406,,Permanente,1999,1
407,,Eventual,1999,5
408,,Mão-de-obra não contratada pelo produtor,1999,0
409,111160159,Mão-de-obra agrícola total,1989,220
410,111160159,Mão-de-obra agrícola total,2019,46
411,111160159,Mão-de-obra agrícola total,2009,85
412,111160159,Mão-de-obra agrícola total,1999,110
413,,Mão-de-obra agrícola familiar,1999,105
414,,Produtor,1999,51
415,,Cônjuge,1999,34
416,,Outros membros da família,1999,20
417,,Mão-de-obra agrícola não familiar,1999,5
418,,Permanente,1999,2
419,,Eventual,1999,2
420,,Mão-de-obra não contratada pelo produtor,1999,0
421,111160160,Mão-de-obra agrícola total,1989,276
422,111160160,Mão-de-obra agrícola total,2019,46
423,111160160,Mão-de-obra agrícola total,2009,81
424,111160160,Mão-de-obra agrícola total,1999,156
425,,Mão-de-obra agrícola familiar,1999,151
426,,Produtor,1999,71
427,,Cônjuge,1999,51
428,,Outros membros da família,1999,29
429,,Mão-de-obra agrícola não familiar,1999,5
430,,Permanente,1999,2
431,,Eventual,1999,3
432,,Mão-de-obra não contratada pelo produtor,1999,0
433,111160161,Mão-de-obra agrícola total,1989,395
434,111160161,Mão-de-obra agrícola total,2019,54
435,111160161,Mão-de-obra agrícola total,2009,102
436,111160161,Mão-de-obra agrícola total,1999,174
437,,Mão-de-obra agrícola familiar,1999,160
438,,Produtor,1999,77
439,,Cônjuge,1999,53
440,,Outros membros da família,1999,29
441,,Mão-de-obra agrícola não familiar,1999,14
442,,Permanente,1999,2
443,,Eventual,1999,11
444,,Mão-de-obra não contratada pelo produtor,1999,1
445,111160162,Mão-de-obra agrícola total,1989,173
446,111160162,Mão-de-obra agrícola total,2019,55
447,111160162,Mão-de-obra agrícola total,2009,72
448,111160162,Mão-de-obra agrícola total,1999,171
449,,Mão-de-obra agrícola familiar,1999,140
450,,Produtor,1999,66
451,,Cônjuge,1999,43
452,,Outros membros da família,1999,31
453,,Mão-de-obra agrícola não familiar,1999,31
454,,Permanente,1999,0
455,,Eventual,1999,31
456,,Mão-de-obra não contratada pelo produtor,1999,0
457,111160163,Mão-de-obra agrícola total,1989,401
458,111160163,Mão-de-obra agrícola total,2019,130
459,111160163,Mão-de-obra agrícola total,2009,150
460,111160163,Mão-de-obra agrícola total,1999,262
461,,Mão-de-obra agrícola familiar,1999,240
462,,Produtor,1999,115
463,,Cônjuge,1999,82
464,,Outros membros da família,1999,44
465,,Mão-de-obra agrícola não familiar,1999,21
466,,Permanente,1999,9
467,,Eventual,1999,12
468,,Mão-de-obra não contratada pelo produtor,1999,1
469,111160164,Mão-de-obra agrícola total,1989,286
470,111160164,Mão-de-obra agrícola total,2019,90
471,111160164,Mão-de-obra agrícola total,2009,125
472,111160164,Mão-de-obra agrícola total,1999,154
473,,Mão-de-obra agrícola familiar,1999,145
474,,Produtor,1999,67
475,,Cônjuge,1999,43
476,,Outros membros da família,1999,34
477,,Mão-de-obra agrícola não familiar,1999,10
478,,Permanente,1999,2
479,,Eventual,1999,8
480,,Mão-de-obra não contratada pelo produtor,1999,0
481,111160149,Mão-de-obra agrícola total,1989,361
482,111160149,Mão-de-obra agrícola total,2019,82
483,111160149,Mão-de-obra agrícola total,2009,123
484,111160149,Mão-de-obra agrícola total,1999,163
485,,Mão-de-obra agrícola familiar,1999,158
486,,Produtor,1999,75
487,,Cônjuge,1999,53
488,,Outros membros da família,1999,30
489,,Mão-de-obra agrícola não familiar,1999,5
490,,Permanente,1999,0
491,,Eventual,1999,4
492,,Mão-de-obra não contratada pelo produtor,1999,0
493,1111602,Mão-de-obra agrícola total,1989,1537
494,1111602,Mão-de-obra agrícola total,2019,407
495,1111602,Mão-de-obra agrícola total,2009,731
496,1111602,Mão-de-obra agrícola total,1999,833
497,,Mão-de-obra agrícola familiar,1999,768
498,,Produtor,1999,351
499,,Cônjuge,1999,152
500,,Outros membros da família,1999,265
501,,Mão-de-obra agrícola não familiar,1999,65
502,,Permanente,1999,29
503,,Eventual,1999,34
504,,Mão-de-obra não contratada pelo produtor,1999,2
505,111160201,Mão-de-obra agrícola total,1989,120
506,111160201,Mão-de-obra agrícola total,2019,20
507,111160201,Mão-de-obra agrícola total,2009,29
508,111160201,Mão-de-obra agrícola total,1999,40
509,,Mão-de-obra agrícola familiar,1999,34
510,,Produtor,1999,17
511,,Cônjuge,1999,7
512,,Outros membros da família,1999,10
513,,Mão-de-obra agrícola não familiar,1999,6
514,,Permanente,1999,4
515,,Eventual,1999,2
516,,Mão-de-obra não contratada pelo produtor,1999,0
517,111160205,Mão-de-obra agrícola total,1989,75
518,111160205,Mão-de-obra agrícola total,2019,7
519,111160205,Mão-de-obra agrícola total,2009,52
520,111160205,Mão-de-obra agrícola total,1999,30
521,,Mão-de-obra agrícola familiar,1999,29
522,,Produtor,1999,14
523,,Cônjuge,1999,6
524,,Outros membros da família,1999,8
525,,Mão-de-obra agrícola não familiar,1999,1
526,,Permanente,1999,0
527,,Eventual,1999,0
528,,Mão-de-obra não contratada pelo produtor,1999,0
529,111160209,Mão-de-obra agrícola total,1989,176
530,111160209,Mão-de-obra agrícola total,2019,31
531,111160209,Mão-de-obra agrícola total,2009,63
532,111160209,Mão-de-obra agrícola total,1999,75
533,,Mão-de-obra agrícola familiar,1999,73
534,,Produtor,1999,32
535,,Cônjuge,1999,13
536,,Outros membros da família,1999,29
537,,Mão-de-obra agrícola não familiar,1999,2
538,,Permanente,1999,1
539,,Eventual,1999,1
540,,Mão-de-obra não contratada pelo produtor,1999,0
541,111160211,Mão-de-obra agrícola total,1989,51
542,111160211,Mão-de-obra agrícola total,2019,7
543,111160211,Mão-de-obra agrícola total,2009,13
544,111160211,Mão-de-obra agrícola total,1999,16
545,,Mão-de-obra agrícola familiar,1999,12
546,,Produtor,1999,8
547,,Cônjuge,1999,3
548,,Outros membros da família,1999,1
549,,Mão-de-obra agrícola não familiar,1999,3
550,,Permanente,1999,2
551,,Eventual,1999,1
552,,Mão-de-obra não contratada pelo produtor,1999,0
553,111160214,Mão-de-obra agrícola total,1989,188
554,111160214,Mão-de-obra agrícola total,2019,64
555,111160214,Mão-de-obra agrícola total,2009,80
556,111160214,Mão-de-obra agrícola total,1999,129
557,,Mão-de-obra agrícola familiar,1999,123
558,,Produtor,1999,60
559,,Cônjuge,1999,19
560,,Outros membros da família,1999,45
561,,Mão-de-obra agrícola não familiar,1999,6
562,,Permanente,1999,1
563,,Eventual,1999,5
564,,Mão-de-obra não contratada pelo produtor,1999,0
565,111160215,Mão-de-obra agrícola total,1989,29
566,111160215,Mão-de-obra agrícola total,2019,4
567,111160215,Mão-de-obra agrícola total,2009,10
568,111160215,Mão-de-obra agrícola total,1999,12
569,,Mão-de-obra agrícola familiar,1999,10
570,,Produtor,1999,5
571,,Cônjuge,1999,1
572,,Outros membros da família,1999,4
573,,Mão-de-obra agrícola não familiar,1999,2
574,,Permanente,1999,1
575,,Eventual,1999,1
576,,Mão-de-obra não contratada pelo produtor,1999,0
577,111160221,Mão-de-obra agrícola total,1989,141
578,111160221,Mão-de-obra agrícola total,2019,66
579,111160221,Mão-de-obra agrícola total,2009,86
580,111160221,Mão-de-obra agrícola total,1999,95
581,,Mão-de-obra agrícola familiar,1999,94
582,,Produtor,1999,39
583,,Cônjuge,1999,23
584,,Outros membros da família,1999,32
585,,Mão-de-obra agrícola não familiar,1999,2
586,,Permanente,1999,1
587,,Eventual,1999,1
588,,Mão-de-obra não contratada pelo produtor,1999,0
589,111160222,Mão-de-obra agrícola total,1989,70
590,111160222,Mão-de-obra agrícola total,2019,19
591,111160222,Mão-de-obra agrícola total,2009,27
592,111160222,Mão-de-obra agrícola total,1999,34
593,,Mão-de-obra agrícola familiar,1999,26
594,,Produtor,1999,11
595,,Cônjuge,1999,9
596,,Outros membros da família,1999,6
597,,Mão-de-obra agrícola não familiar,1999,9
598,,Permanente,1999,3
599,,Eventual,1999,5
600,,Mão-de-obra não contratada pelo produtor,1999,0
601,111160223,Mão-de-obra agrícola total,1989,185
602,111160223,Mão-de-obra agrícola total,2019,31
603,111160223,Mão-de-obra agrícola total,2009,141
604,111160223,Mão-de-obra agrícola total,1999,163
605,,Mão-de-obra agrícola familiar,1999,159
606,,Produtor,1999,63
607,,Cônjuge,1999,33
608,,Outros membros da família,1999,63
609,,Mão-de-obra agrícola não familiar,1999,5
610,,Permanente,1999,1
611,,Eventual,1999,4
612,,Mão-de-obra não contratada pelo produtor,1999,0
613,111160224,Mão-de-obra agrícola total,1989,85
614,111160224,Mão-de-obra agrícola total,2019,16
615,111160224,Mão-de-obra agrícola total,2009,15
616,111160224,Mão-de-obra agrícola total,1999,34
617,,Mão-de-obra agrícola familiar,1999,32
618,,Produtor,1999,13
619,,Cônjuge,1999,8
620,,Outros membros da família,1999,11
621,,Mão-de-obra agrícola não familiar,1999,2
622,,Permanente,1999,0
623,,Eventual,1999,2
624,,Mão-de-obra não contratada pelo produtor,1999,0
625,111160225,Mão-de-obra agrícola total,1989,213
626,111160225,Mão-de-obra agrícola total,2019,41
627,111160225,Mão-de-obra agrícola total,2009,92
628,111160225,Mão-de-obra agrícola total,1999,96
629,,Mão-de-obra agrícola familiar,1999,93
630,,Produtor,1999,45
631,,Cônjuge,1999,18
632,,Outros membros da família,1999,31
633,,Mão-de-obra agrícola não familiar,1999,3
634,,Permanente,1999,0
635,,Eventual,1999,3
636,,Mão-de-obra não contratada pelo produtor,1999,0
637,111160217,Mão-de-obra agrícola total,1989,88
638,111160217,Mão-de-obra agrícola total,2019,21
639,111160217,Mão-de-obra agrícola total,2009,60
640,111160217,Mão-de-obra agrícola total,1999,46
641,,Mão-de-obra agrícola familiar,1999,35
642,,Produtor,1999,19
643,,Cônjuge,1999,6
644,,Outros membros da família,1999,11
645,,Mão-de-obra agrícola não familiar,1999,11
646,,Permanente,1999,6
647,,Eventual,1999,5
648,,Mão-de-obra não contratada pelo produtor,1999,0
649,111160218,Mão-de-obra agrícola total,1989,67
650,111160218,Mão-de-obra agrícola total,2019,11
651,111160218,Mão-de-obra agrícola total,2009,45
652,111160218,Mão-de-obra agrícola total,1999,41
653,,Mão-de-obra agrícola familiar,1999,29
654,,Produtor,1999,15
655,,Cônjuge,1999,6
656,,Outros membros da família,1999,8
657,,Mão-de-obra agrícola não familiar,1999,13
658,,Permanente,1999,9
659,,Eventual,1999,3
660,,Mão-de-obra não contratada pelo produtor,1999,0
661,111160220,Mão-de-obra agrícola total,1989,48
662,111160220,Mão-de-obra agrícola total,2019,70
663,111160220,Mão-de-obra agrícola total,2009,17
664,111160220,Mão-de-obra agrícola total,1999,22
665,,Mão-de-obra agrícola familiar,1999,20
666,,Produtor,1999,11
667,,Cônjuge,1999,3
668,,Outros membros da família,1999,7
669,,Mão-de-obra agrícola não familiar,1999,1
670,,Permanente,1999,0
671,,Eventual,1999,1
672,,Mão-de-obra não contratada pelo produtor,1999,0
673,1111603,Mão-de-obra agrícola total,1989,4172
674,1111603,Mão-de-obra agrícola total,2019,980
675,1111603,Mão-de-obra agrícola total,2009,1307
676,1111603,Mão-de-obra agrícola total,1999,1896
677,,Mão-de-obra agrícola familiar,1999,1831
678,,Produtor,1999,899
679,,Cônjuge,1999,558
