111160522: União das freguesias de Bico e Cristelo;242;102;1223;82;44;1725;335;18;
111160523: União das freguesias de Cossourado e Linhares;82;30;251;12;4;1075;285;41;
111160524: União das freguesias de Formariz e Ferreira;286;59;1208;514;24;2321;575;51;
111160525: União das freguesias de Insalde e Porreiras;472;59;777;7;8;1180;226;3;
111160526: União das freguesias de Paredes de Coura e Resende;86;47;435;12;12;1013;268;28;
111160521: Vascões;115;12;451;27;3;583;96;- -;
1111606: Ponte da Barca;2258;391;1628;3564;291;18456;14078;436;
111160601: Azias;169;28;10;254;6;661;205;- -;
111160602: Boivães;132;22;19;122;4;955;211;- -;
111160603: Bravães;129;30;87;31;27;1912;286;- -;
111160604: Britelo;28;13;118;48;65;574;99;9;
111160606: Cuide de Vila Verde;70;16;65;9;6;619;61;- -;
111160611: Lavradas;235;29;67;58;6;2708;503;270;
111160612: Lindoso;267;14;17;379;61;1160;231;90;
111160613: Nogueira;25;17;131;16;9;635;61;1;
111160614: Oleiros;110;12;144;17;3;1206;243;- -;
111160619: Sampriz;192;18;17;66;1;803;68;7;
111160626: União das freguesias de Crasto, Ruivos e Grovelas;197;68;75;13;41;1820;245;7;
111160627: União das freguesias de Entre Ambos-os-Rios, Ermida e Germil;271;7;367;1849;37;1001;51;25;
111160628: União das freguesias de Ponte da Barca, Vila Nova de Muía e Paço Vedro de Magalhães;98;18;276;20;11;1714;11452;- -;
111160629: União das freguesias de Touvedo (São Lourenço e Salvador);32;3;54;332;2;427;57;- -;
111160630: União das freguesias de Vila Chã (São João Baptista e Santiago);235;62;157;341;7;1310;147;27;
111160623: Vade (São Pedro);42;25;15;8;2;428;80;- -;
111160624: Vade (São Tomé);26;9;9;1;3;523;78;- -;
1111607: Ponte de Lima;8986;3302;5999;2341;312;83098;20003;889;
111160701: Anais;103;225;162;198;2;2535;857;9;
111160752: Arca e Ponte de Lima;86;6;- -;2;4;554;132;7;
111160704: Arcozelo;119;39;161;52;- -;3515;866;- -;
111160753: Ardegão, Freixo e Mato;583;46;906;19;8;3120;691;16;
111160754: Associação de freguesias do Vale do Neiva;569;109;478;- -;7;2792;673;40;
111160755: Bárrio e Cepões;119;29;292;93;47;1846;213;9;
111160707: Beiral do Lima;253;42;53;137;1;1711;314;5;
111160708: Bertiandos;33;77;13;17;3;2308;133;10;
111160709: Boalhosa;124;37;21;79;9;410;19;- -;
111160710: Brandara;15;14;69;12;11;1083;185;103;
111160756: Cabaços e Fojo Lobal;356;68;276;23;15;2375;442;41;
111160757: Cabração e Moreira do Lima;300;63;96;443;7;3163;249;26;
111160713: Calheiros;145;17;178;33;18;2007;369;30;
111160714: Calvelo;416;56;93;- -;2;2385;540;41;
111160716: Correlhã;890;204;117;30;25;5523;1234;8;
111160717: Estorãos;133;10;64;382;2;1922;93;- -;
111160718: Facha;223;57;165;14;8;2362;397;43;
111160719: Feitosa;67;6;78;3;14;637;178;- -;
111160721: Fontão;391;123;13;1;2;2849;215;- -;
111160758: Fornelos e Queijada;326;550;195;76;8;5320;701;56;
111160724: Friastelas;230;19;266;1;1;1599;510;41;
111160726: Gandra;156;23;47;6;1;1431;327;7;
111160727: Gemieira;143;16;48;7;- -;1261;250;43;
111160728: Gondufe;144;20;163;18;2;1300;300;2;
111160729: Labruja;88;20;192;9;1;1280;208;51;
111160759: Labrujó, Rendufe e Vilar do Monte;225;55;628;68;52;950;217;103;
111160760: Navió e Vitorino dos Piães;429;75;486;35;5;3387;1089;29;
111160734: Poiares;882;398;95;10;2;2127;5459;28;
111160744: Rebordões (Santa Maria);213;34;58;11;1;1591;254;40;
111160747: Rebordões (Souto);157;34;107;4;1;1838;232;19;
111160737: Refóios do Lima;263;64;157;151;33;5864;1034;34;
111160739: Ribeira;210;84;23;98;1;3405;481;14;
111160740: Sá;58;537;37;15;1;825;145;- -;
111160742: Santa Comba;15;22;23;- -;- -;572;85;6;
111160743: Santa Cruz do Lima;61;7;34;4;2;1011;205;- -;
111160703: São Pedro d'Arcos;158;31;56;46;15;1892;116;12;
111160745: Seara;90;10;19;4;- -;793;213;6;
111160746: Serdedelo;159;62;127;235;1;2075;194;10;
111160750: Vitorino das Donas;54;13;3;5;- -;1480;183;- -;
1111608: Valença;1019;1189;4950;853;104;108690;2736;339;
111160802: Boivão;31;15;185;19;- -;620;143;11;
111160803: Cerdal;308;62;917;251;24;3337;522;51;
111160805: Fontoura;97;21;394;63;23;11755;260;39;
111160806: Friestas;1;12;235;4;4;941;104;1;
111160808: Ganfei;28;14;607;23;10;1253;362;22;
111160812: São Pedro da Torre;46;723;83;15;1;20463;153;31;
111160817: União das freguesias de Gandra e Taião;246;41;757;174;26;63828;327;120;
111160818: União das freguesias de Gondomil e Sanfins;50;18;729;184;2;1645;169;6;
111160819: União das freguesias de São Julião e Silva;174;34;432;27;8;2071;266;33;
111160820: União das freguesias de Valença, Cristelo Covo e Arão;22;232;417;50;5;1412;246;18;
111160816: Verdoejo;16;17;194;43;1;1365;184;7;
1111609: Viana do Castelo;8758;1586;2585;1038;255;241493;9199;1022;
111160901: Afife;156;22;35;8;2;25876;112;- -;
111160902: Alvarães;314;28;197;17;4;2408;645;37;
111160903: Amonde;78;41;39;29;34;1270;133;19;
111160904: Anha;249;23;122;5;4;1817;193;89;
111160905: Areosa;106;32;108;61;9;1068;364;46;
111160908: Carreço;444;27;53;2;- -;1153;381;7;
111160910: Castelo do Neiva;303;73;20;3;2;2249;224;- -;
111160940: Chafé;217;9;16;24;3;1260;136;- -;
111160911: Darque;38;3;106;1;2;348;33;- -;
111160914: Freixieiro de Soutelo;315;21;60;26;3;1357;110;50;
111160915: Lanheses;340;92;23;70;5;3865;435;- -;
111160920: Montaria;231;42;308;412;28;2405;505;197;
111160922: Mujães;33;6;34;- -;- -;1160;293;30;
111160925: Outeiro;337;24;38;25;107;2439;533;97;
111160926: Perre;861;209;61;61;10;3290;488;53;
111160928: Santa Marta de Portuzelo;618;273;58;25;16;4131;289;152;
111160923: São Romão de Neiva;172;9;161;17;- -;101095;161;- -;
111160941: União das freguesias de Barroselas e Carvoeiro;422;44;155;54;1;2756;406;54;
111160942: União das freguesias de Cardielos e Serreleis;275;74;36;5;5;1602;231;- -;
111160943: União das freguesias de Geraz do Lima (Santa Maria, Santa Leocádia e Moreira) e Deão;799;126;193;27;6;6416;900;49;
111160944: União das freguesias de Mazarefes e Vila Fria;338;13;61;3;1;2262;88;29;
111160945: União das freguesias de Nogueira, Meixedo e Vilar de Murteda;402;69;300;89;6;16546;1372;70;
111160946: União das freguesias de Subportela, Deocriste e Portela Susã;624;145;126;16;1;39631;478;- -;
111160947: União das freguesias de Torre e Vila Mou;500;95;126;32;3;10970;210;18;
111160948: União das freguesias de Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela;227;56;50;6;1;1439;231;10;
111160938: Vila de Punhe;79;9;81;7;- -;937;129;- -;
111160935: Vila Franca;280;21;18;13;2;1743;119;15;
1111610: Vila Nova de Cerveira;1387;232;1947;423;58;8455;1328;406;
111161003: Cornes;162;21;237;49;- -;760;97;10;
111161004: Covas;169;29;226;98;15;1158;233;159;
111161006: Gondarém;53;20;252;65;10;545;183;6;
111161007: Loivo;- -;6;87;9;1;575;35;58;
111161009: Mentrestido;62;18;152;7;2;656;182;11;
111161012: Sapardos;39;5;146;38;9;535;70;- -;
111161013: Sopo;35;75;157;61;10;814;63;130;
111161016: União das freguesias de Campos e Vila Meã;389;11;271;26;3;1316;178;8;
111161017: União das freguesias de Candemil e Gondar;85;25;173;22;7;785;110;23;
111161018: União das freguesias de Reboreda e Nogueira;295;17;235;34;- -;1054;149;- -;
111161019: União das freguesias de Vila Nova de Cerveira e Lovelhe;98;5;11;14;1;257;28;1;
112: Cávado;85097;14755;11105;8643;1109;557855;80012;3033;
1120301: Amares;1961;5722;990;502;128;278059;13879;461;
112030102: Barreiros;147;8;47;3;- -;1238;201;- -;
112030104: Bico;82;27;3;5;6;733;48;1;
112030119: Bouro (Santa Maria);32;50;68;10;5;1296;8640;33;
112030120: Bouro (Santa Marta);86;52;135;62;26;1353;266;21;
112030105: Caires;64;20;66;157;20;4405;1230;22;
112030107: Carrazedo;321;5061;59;5;2;224167;275;6;
112030108: Dornelas;141;24;6;10;1;1369;405;206;
112030111: Fiscal;91;51;29;8;1;1818;114;2;
112030112: Goães;67;30;21;2;1;1604;468;97;
112030113: Lago;26;6;95;6;- -;1037;169;2;
112030118: Rendufe;183;40;38;8;9;31483;237;- -;
112030125: União das freguesias de Amares e Figueiredo;39;9;54;1;- -;1150;338;5;
112030126: União das freguesias de Caldelas, Sequeiros e Paranhos;223;69;94;207;11;1502;285;12;
112030127: União das freguesias de Ferreiros, Prozelo e Besteiros;202;98;104;3;22;2071;535;5;
112030128: União das freguesias de Torre e Portela;73;63;7;4;4;1002;227;26;
112030129: União das freguesias de Vilela, Seramil e Paredes Secas;184;114;164;11;20;1831;441;23;
1120302: Barcelos;55076;2528;1729;439;214;130915;28542;609;
112030201: Abade de Neiva;566;63;50;24;4;1645;486;11;
112030202: Aborim;319;2;2;- -;- -;556;234;1;
112030203: Adães;357;12;7;2;- -;670;239;2;
112030205: Airó;317;135;10;30;3;903;351;- -;
112030206: Aldreu;548;19;40;10;6;1165;297;3;
112030208: Alvelos;856;22;3;4;7;1027;608;4;
112030209: Arcozelo;330;4;- -;1;2;382;11;- -;
112030210: Areias;137;1;4;3;4;284;104;3;
112030212: Balugães;295;24;148;2;1;439;111;1;
112030213: Barcelinhos;199;8;6;2;11;381;146;1;
112030215: Barqueiros;1260;29;4;5;10;2035;426;- -;
112030216: Cambeses;1135;39;32;- -;- -;746;208;- -;
112030218: Carapeços;383;23;54;12;3;1010;308;- -;
112030220: Carvalhal;783;19;5;7;12;985;219;4;
112030221: Carvalhas;483;11;97;4;- -;659;213;1;
112030224: Cossourado;852;21;114;- -;1;1273;126;8;
112030228: Cristelo;3033;84;21;- -;3;1638;455;6;
112030234: Fornelos;641;32;2;7;- -;1005;199;5;
112030235: Fragoso;642;80;170;4;8;2721;627;21;
112030268: Galegos (Santa Maria);169;24;14;2;- -;629;230;29;
112030272: Galegos (São Martinho);183;2;8;- -;5;352;115;- -;
112030237: Gilmonde;446;24;- -;1;- -;1155;515;8;
112030242: Lama;171;16;2;1;1;821;124;7;
112030243: Lijó;794;15;26;1;1;1509;521;2;
112030244: Macieira de Rates;3209;58;19;- -;- -;2215;1040;3;
112030245: Manhente;935;6;7;- -;- -;634;130;- -;
112030247: Martim;394;70;53;1;15;1636;336;1;
112030252: Moure;101;23;- -;- -;4;601;253;9;
112030254: Oliveira;284;39;104;2;1;1012;336;24;
112030255: Palme;532;52;39;6;2;1433;291;23;
112030256: Panque;420;25;30;- -;- -;1153;110;- -;
112030257: Paradela;1797;59;- -;6;- -;1408;521;5;
112030259: Pereira;258;5;- -;- -;- -;566;162;4;
112030260: Perelhal;344;38;14;27;19;1739;597;5;
112030261: Pousa;443;64;11;20;6;2223;326;12;
112030263: Remelhe;774;26;4;8;- -;1973;457;14;
112030265: Rio Covo (Santa Eugénia);339;11;- -;- -;4;781;102;7;
112030264: Roriz;1764;30;18;2;2;1865;229;6;
112030279: Silva;364;12;1;- -;- -;519;157;1;
112030277: Tamel (São Veríssimo);218;5;- -;- -;- -;669;76;- -;
112030282: Ucha;792;27;25;2;3;1460;418;14;
112030290: União das freguesias de Alheira e Igreja Nova;425;18;56;- -;4;1699;361;17;
112030291: União das freguesias de Alvito (São Pedro e São Martinho) e Couto;836;25;107;60;7;1673;449;16;
112030292: União das freguesias de Areias de Vilar e Encourados;778;174;25;14;7;2443;902;19;
112030293: União das freguesias de Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro);999;140;12;4;3;1838;864;41;
112030294: União das freguesias de Campo e Tamel (São Pedro Fins);586;16;33;3;2;1408;331;2;
112030295: União das freguesias de Carreira e Fonte Coberta;1405;34;29;9;2;1734;375;2;
112030296: União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral;6257;138;37;46;4;6850;1662;63;
112030297: União das freguesias de Creixomil e Mariz;510;32;11;5;- -;1287;3765;10;
112030298: União das freguesias de Durrães e Tregosa;175;18;53;22;- -;1070;130;7;
112030299: União das freguesias de Gamil e Midões;446;32;61;28;5;1125;914;4;
1120302FA: União das freguesias de Milhazes, Vilar de Figos e Faria;2330;82;19;10;5;42847;1019;8;
1120302FB: União das freguesias de Negreiros e Chavão;2453;81;- -;5;1;2383;438;5;
1120302FC: União das freguesias de Quintiães e Aguiar;786;32;14;7;2;1752;322;46;
1120302FD: União das freguesias de Sequeade e Bastuço (São João e Santo Estevão);869;64;10;- -;14;2273;607;12;
1120302FE: União das freguesias de Silveiros e Rio Covo (Santa Eulália);1269;44;18;- -;3;2076;554;18;
1120302FF: União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte;338;16;11;16;6;1103;582;21;
1120302FG: União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães;3399;142;20;5;- -;4210;802;45;
1120302FH: União das freguesias de Vila Cova e Feitos;1673;114;68;8;- -;4156;1310;8;
112030283: Várzea;279;14;- -;- -;5;936;249;- -;
112030287: Vila Seca;1396;53;1;1;6;2175;492;20;
1120303: Braga;9931;1422;1842;503;100;47861;12713;292;
112030301: Adaúfe;468;62;165;71;6;2957;616;9;
112030349: Braga (São Vicente);5;- -;- -;- -;- -;37;16;- -;
112030351: Braga (São Vítor);21;24;2;3;- -;332;9;- -;
112030312: Espinho;310;31;284;21;14;927;176;27;
112030313: Esporões;338;45;2;5;- -;756;258;17;
112030315: Figueiredo;151;13;11;1;- -;580;211;6;
112030319: Gualtar;18;18;- -;- -;- -;427;124;- -;
112030322: Lamas;82;15;- -;3;- -;399;109;3;
112030325: Mire de Tibães;216;44;38;6;5;1719;408;3;
112030330: Padim da Graça;60;37;9;5;1;992;300;9;
112030331: Palmeira;226;55;39;2;27;1566;475;6;
112030334: Pedralva;570;19;74;21;1;1222;181;12;
112030336: Priscos;248;36;15;6;5;1008;242;17;
112030338: Ruilhe;173;62;4;- -;- -;660;162;1;
112030354: Sequeira;1394;57;28;4;1;1738;893;3;
112030355: Sobreposta;237;29;167;84;2;878;256;27;
112030356: Tadim;89;10;2;2;2;359;110;1;
112030357: Tebosa;70;19;25;4;- -;764;168;1;
112030363: União das freguesias de Arentim e Cunha;804;46;46;1;6;1951;574;24;
112030364: União das freguesias de Braga (Maximinos, Sé e Cividade);60;24;24;7;1;1037;396;- -;
112030365: União das freguesias de Braga (São José de São Lázaro e São João do Souto);- -;- -;- -;- -;- -;- -;- -;- -;
112030366: União das freguesias de Cabreiros e Passos (São Julião);319;55;83;24;3;2080;1086;7;
112030367: União das freguesias de Celeirós, Aveleda e Vimieiro;322;42;8;22;- -;2016;756;24;
112030368: União das freguesias de Crespos e Pousada;149;47;64;18;- -;2638;452;6;
112030369: União das freguesias de Escudeiros e Penso (Santo Estêvão e São Vicente);973;40;10;- -;1;2582;444;21;
112030370: União das freguesias de Este (São Pedro e São Mamede);180;28;267;99;6;1084;310;46;
112030371: União das freguesias de Ferreiros e Gondizalves;114;48;28;- -;1;2334;402;2;
112030372: União das freguesias de Guisande e Oliveira (São Pedro);187;16;4;2;- -;978;469;7;
112030373: União das freguesias de Lomar e Arcos;220;22;25;17;- -;1170;268;5;
112030374: União das freguesias de Merelim (São Paio), Panoias e Parada de Tibães;336;70;45;19;4;1901;518;1;
112030375: União das freguesias de Merelim (São Pedro) e Frossos;426;83;4;3;1;2112;515;3;
112030376: União das freguesias de Morreira e Trandeiras;201;32;- -;5;3;858;236;1;
112030377: União das freguesias de Nogueira, Fraião e Lamaçães;135;46;28;7;- -;1755;214;2;
112030378: União das freguesias de Nogueiró e Tenões;27;56;145;2;2;812;271;1;
112030379: União das freguesias de Real, Dume e Semelhe;486;133;101;19;3;2892;492;- -;
112030380: União das freguesias de Santa Lucrécia de Algeriz e Navarra;156;20;34;9;3;1009;155;- -;
112030381: União das freguesias de Vilaça e Fradelos;160;38;61;11;2;1331;441;- -;
1120306: Esposende;8566;716;352;74;17;38070;11418;173;
112030601: Antas;315;39;11;8;1;3013;639;39;
112030608: Forjães;280;36;205;13;3;3207;727;54;
112030610: Gemeses;685;44;- -;3;- -;1585;195;6;
112030616: União das freguesias de Apúlia e Fão;676;94;5;4;- -;4780;2139;- -;
112030617: União das freguesias de Belinho e Mar;344;61;18;- -;2;3763;1017;- -;
112030618: União das freguesias de Esposende, Marinhas e Gandra;2305;104;22;17;7;7113;1592;45;
112030619: União das freguesias de Fonte Boa e Rio Tinto;2758;160;- -;2;- -;10465;3791;1;
112030620: União das freguesias de Palmeira de Faro e Curvos;808;69;63;25;4;2716;994;18;
112030615: Vila Chã;395;109;28;2;- -;1428;324;10;
1120310: Terras de Bouro;1984;838;1389;5336;378;11129;3598;861;
112031001: Balança;64;56;13;- -;35;663;91;7;
112031003: Campo do Gerês;18;13;4;4;12;184;106;57;
112031004: Carvalheira;155;32;99;673;41;780;121;26;
112031008: Covide;153;50;67;551;6;536;169;110;
112031009: Gondoriz;116;12;36;45;6;827;115;19;
112031010: Moimenta;32;22;24;1;1;628;240;115;
112031012: Ribeira;28;48;33;8;- -;628;1171;12;
112031013: Rio Caldo;102;47;23;233;5;716;226;41;
112031014: Souto;60;99;38;16;10;1075;135;13;
112031018: União das freguesias de Chamoim e Vilar;292;118;522;187;49;1352;259;77;
112031019: União das freguesias de Chorense e Monte;406;179;352;1246;160;1578;388;44;
112031020: União das freguesias de Cibões e Brufe;381;87;149;859;28;954;198;44;
112031015: Valdosende;79;31;24;195;13;466;191;28;
112031017: Vilar da Veiga;98;44;5;1318;12;742;188;268;
1120313: Vila Verde;7579;3529;4803;1789;272;51821;9862;637;
112031359: Aboim da Nóbrega e Gondomar;603;109;207;213;23;1855;353;- -;
112031304: Atiães;334;83;46;- -;6;1238;114;32;
112031308: Cabanelas;309;32;83;- -;3;913;65;12;
112031309: Cervães;159;39;227;21;5;1788;303;28;
112031311: Coucieiro;350;68;53;- -;3;1439;113;36;
112031313: Dossãos;123;168;73;4;17;1270;278;19;
112031316: Freiriz;128;107;119;- -;- -;1658;423;15;
112031317: Gême;89;8;74;- -;- -;786;155;2;
112031323: Lage;215;345;278;62;9;1217;282;1;
112031324: Lanhas;72;13;55;- -;1;709;98;14;
112031325: Loureira;84;31;38;4;1;551;120;- -;
112031328: Moure;95;88;115;11;1;1658;392;- -;
112031330: Oleiros;91;17;185;- -;21;726;88;1;
112031331: Parada de Gatim;167;44;44;3;2;1202;137;6;
112031335: Pico;352;57;14;4;3;1139;194;38;
112031337: Ponte;37;29;10;20;2;702;63;- -;
112031350: Prado (São Miguel);151;67;91;23;3;1462;146;17;
112031340: Sabariz;18;4;88;11;1;231;71;- -;
112031352: Soutelo;322;52;103;6;4;1248;276;5;
112031354: Turiz;217;48;88;12;2;1072;125;21;
112031360: União das freguesias da Ribeira do Neiva;970;683;642;363;36;7883;1494;59;
112031361: União das freguesias de Carreiras (São Miguel) e Carreiras (Santiago);150;307;140;135;2;2020;541;23;
112031362: União das freguesias de Escariz (São Mamede) e Escariz (São Martinho);415;25;162;3;9;1632;507;19;
112031363: União das freguesias de Esqueiros, Nevogilde e Travassós;168;107;238;13;2;1698;330;36;
112031364: União das freguesias de Marrancos e Arcozelo;313;18;252;36;1;1100;279;10;
112031365: União das freguesias de Oriz (Santa Marinha) e Oriz (São Miguel);163;101;130;16;9;1169;164;9;
112031366: União das freguesias de Pico de Regalados, Gondiães e Mós;146;56;67;94;28;2092;454;53;
112031367: União das freguesias de Sande, Vilarinho, Barros e Gomide;232;264;97;275;6;1959;339;49;
112031368: União das freguesias de Valbom (São Pedro), Passô e Valbom (São Martinho);173;125;58;66;4;1558;114;19;
112031369: União das freguesias do Vade;265;127;289;130;52;2525;601;21;
112031355: Valdreu;337;168;464;229;3;1639;324;60;
112031342: Vila de Prado;153;51;142;2;5;1509;256;- -;
112031370: Vila Verde e Barbudo;178;88;131;33;8;2173;663;32;
119: Ave;44963;12399;16426;13270;1096;941787;58211;3914;
1190304: Cabeceiras de Basto;3643;1956;5036;3295;130;19500;6212;700;
119030401: Abadim;397;162;516;82;11;1232;533;11;
119030404: Basto;94;106;50;6;4;622;156;- -;
119030405: Bucos;211;104;616;4;7;1314;464;- -;
119030406: Cabeceiras de Basto;343;104;580;212;2;867;481;41;
119030407: Cavez;286;106;71;199;- -;1988;918;63;
